UniqueID,Suburb,Restaurant Type,Online Order Facility,Dine-in Facility,Avg Approx Cost (For Two People),Avg Rating,Avg Votes,Restaurant Count,Latitude,Longitude
ZM1000,BTM,Buffet,No,No,808.3333333333334,3.4799999999999995,138.5,6,12.91946792602539,77.61549377441406
ZM1001,BTM,Buffet,No,Yes,1323.5294117647059,4.25625,1934.235294117647,17,12.91946792602539,77.61549377441406
ZM1002,BTM,Buffet,Yes,No,737.5,3.625,1850.5,4,12.91946792602539,77.61549377441406
ZM1003,BTM,Buffet,Yes,Yes,1250.0,4.325,1773.0833333333333,12,12.91946792602539,77.61549377441406
ZM1004,BTM,Cafes,No,No,541.9354838709677,3.8499999999999996,772.9375,32,12.91946792602539,77.61549377441406
ZM1005,BTM,Cafes,No,Yes,833.3333333333334,4.3999999999999995,824.3333333333334,3,12.91946792602539,77.61549377441406
ZM1006,BTM,Cafes,Yes,No,558.6538461538462,3.8229166666666665,295.25,52,12.91946792602539,77.61549377441406
ZM1007,BTM,Cafes,Yes,Yes,765.3846153846154,4.176923076923077,1283.0,13,12.91946792602539,77.61549377441406
ZM1008,BTM,Delivery,No,No,367.5880829015544,3.4795348837209303,100.19642857142857,392,12.91946792602539,77.61549377441406
ZM1009,BTM,Delivery,No,Yes,932.3529411764706,4.266666666666667,1196.0588235294117,17,12.91946792602539,77.61549377441406
ZM1010,BTM,Delivery,Yes,No,409.2289348171701,3.654596622889306,154.3449920508744,1258,12.91946792602539,77.61549377441406
ZM1011,BTM,Delivery,Yes,Yes,973.6220472440945,4.1000000000000005,1016.8661417322835,127,12.91946792602539,77.61549377441406
ZM1012,BTM,Desserts,No,No,331.44329896907215,3.634920634920635,62.53,100,12.91946792602539,77.61549377441406
ZM1013,BTM,Desserts,No,Yes,1300.0,4.2,2626.0,1,12.91946792602539,77.61549377441406
ZM1014,BTM,Desserts,Yes,No,382.77777777777777,3.9121951219512194,179.4777777777778,90,12.91946792602539,77.61549377441406
ZM1015,BTM,Desserts,Yes,Yes,770.0,4.14,642.6,5,12.91946792602539,77.61549377441406
ZM1016,BTM,Dine-out,No,No,392.24444444444447,3.504878048780488,112.2885462555066,454,12.91946792602539,77.61549377441406
ZM1017,BTM,Dine-out,No,Yes,1217.2727272727273,4.276470588235294,1578.090909090909,55,12.91946792602539,77.61549377441406
ZM1018,BTM,Dine-out,Yes,No,454.375,3.639529411764706,216.72708333333333,480,12.91946792602539,77.61549377441406
